(S000196, S000153)
(S000196, S000039)
(S000149, S000038)
(S000149, S000153)
(S000005, S000002)
(S000005, S000189)
(S000005, S000184)
(S000005, S000164)
(S000184, S000164)
(S000046, S000002)
(S000046, S000005)
(S000046, S000164)
(S000046, S000184)
(S000046, S000189)
(S000006, S000005)
(S000006, S000164)
(S000006, S000184)
(S000046, S000006)
(S000018, S000164)
(S000018, S000184)
(S000054, S000164)
(S000054, S000184)
(S000044, S000204)
(S000044, S000203)
(S000044, S000187)
(S000129, S000020)
(S000129, S000025)
(S000129, S000026)
(S000129, S000027)
(S000129, S000028)
(S000129, S000033)
(S000129, S000034)
(S000129, S000062)
(S000129, S000146)
(S000129, S000147)
(S000129, S000148)
(S000129, S000158)
(S000129, S000170)
(S000129, S000198)
(S000129, S000202)
(S000129, S000210)
(S000185, S000020)
(S000202, S000020)
(S000026, S000002)
(S000026, S000020)
(S000016, S000015)
(S000046, S000204)
(S000046, S000203)
(S000200, S000187)
(S000129, S000132)
(S000027, S000202)
(S000028, S000202)
(S000029, S000202)
(S000031, S000202)
(S000050, S000202)
(S000077, S000202)
(S000101, S000202)
(S000102, S000202)
(S000146, S000202)
(S000182, S000202)
(S000222, S000202)
(S000014, S000188)
(S000166, S000199)
(S000166, S000187)
(S000199, S000187)
(S000097, S000020)
(S000131, S000020)
(S000186, S000020)
(S000133, S000020)
(S000046, S000187)
(S000046, S000200)
(S000213, S000011)
(S000144, S000187)
(S000152, S000187)
(S000144, S000011)
(S000152, S000011)
(S000046, S000188)
(S000197, S000112)
(S000197, S000113)
(S000197, S000114)
(S000197, S000115)
(S000197, S000116)
(S000197, S000117)
(S000197, S000119)
(S000197, S000121)
(S000197, S000125)
(S000197, S000126)
(S000197, S000127)
(S000197, S000128)
(S000197, S000170)
(S000197, S000176)
(S000197, S000201)
(S000197, S000205)
(S000107, S000132)
(S000168, S000132)
(S000169, S000132)
(S000176, S000132)
(S000197, S000132)
(S000107, S000142)
(S000168, S000142)
(S000169, S000142)
(S000176, S000142)
(S000197, S000142)
(S000150, S000166)
(S000150, S000187)
(S000150, S000199)
(S000150, S000200)
(S000221, S000187)
(S000221, S000200)
(S000160, S000187)
(S000160, S000200)
